series_names,release_year,ratings,synopsis,cast,director
Medical Police,2020,92.0,Two American doctors discover a deadly virus in Brazil and are recruited as government agents in a race to find...,"Erinn Hayes, Rob Huebel, Sarayu Blue, Rob Corddry","Rob Corddry, Krister Johnson, Jonathan Stern, David Wain"
Naomi Osaka,2021,92.0,An intimate look inside the life of one of the most gifted and complex athletes of her generation offers insight...,Naomi Osaka,Garrett Bradley
Criminal: UK,2019,95.0,"In a grueling interview, detectives pressure a taciturn doctor to confess to a murder....","Katherine Kelly, Lee Ingleby, Nicholas Pinnock, Mark Stanley","Jim Field Smith, George Kay"
Masters of the Universe: Revelation,2021,92.0,The war for Eternia begins again in what may be the final battle between He-Man and Skeletor....,"Chris Wood, Mark Hamill, Lena Headey, Sarah Michelle Gellar","Kevin Smith, Rob David, Adam Bonnett, Christopher Keenan"
Peaky Blinders,2013,92.0,"Britain is a mixture of despair and hedonism in 1919 in the aftermath of the Great War. Returning soldiers, newly...","Cillian Murphy, Helen McCrory, Paul Anderson, Sophie Rundle","Otto Bathurst, Anthony Byrne"
Marvel's Daredevil,2015,92.0,"The first in a planned series of shows detailing the Marvel universe, ""Daredevil"" follows Matt Murdock, attorney by day and...","Charlie Cox, Elodie Yung, Deborah Ann Woll, Elden Henson","Drew Goddard, Jeph Loeb, Erik Oleson, Jim Chory"
GLOW,2017,92.0,"Alison Brie stars as Ruth Wilder, an out-of-work actress living in Los Angeles in the '80s. Wilder finds an unexpected...","Alison Brie, Betty Gilpin, Marc Maron, Sydelle Noel","Jenji Kohan, Tara Herrmann, Liz Flahive, Carly Mensch"
Julie and the Phantoms,2020,93.0,"Teenager Julie finds her passion for music and life while helping the Phantoms, a trio of ghostly guys, become the...","Madison Reyes, Charlie Gillespie, Jeremy Shada, Owen Patrick Joyner",Kenny Ortega
Yasuke,2021,93.0,"In feudal Japan, a samurai warrior of African descent must return to his life of sword and violence in order...","LaKeith Stanfield, Takehiro Hira, Maya Tanida, Ming-Na Wen","LeSean Thomas, Flying Lotus"
Our Planet,2019,93.0,Sir David Attenborough narrates this eight-part series that explores the unique wonders of the natural world. Produced in partnership with...,David Attenborough,"Adam Chapman, Hugh Pearson"
On My Block,2018,93.0,"""On My Block"" follows a quartet of bright, street-savvy friends who are navigating their way through high school, including all...","Sierra Capri, Jason Genao, Brett Gray, Diego Tinoco","Lauren Iungerich, Eddie Gonzalez, Jeremy Haft"
The Kominsky Method,2018,93.0,"He may be in his twilight years, but aging acting coach Sandy Kominsky isn't ready to ride off into the...","Michael Douglas, Sarah Baker, Nancy Travis, Kathleen Turner","Chuck Lorre, Al Higgins, Michael Douglas"
Bodyguard,2018,93.0,"War veteran David Budd finds work as a police sergeant with London's Metropolitan Police Service, in the Royalty and Specialist...","Richard Madden, Keeley Hawes, Sophie Rundle, Pippa Haywood",Thomas Vincent
Queer Eye,2018,,"More than a decade after the original series went off the air, Netflix reboots the ""Queer Eye"" franchise with a...","Antoni Porowski, Bobby Berk, Karamo Brown, Jonathan Van Ness","David Collins, Michael Williams, Rob Eric, Jen Lane"
The Haunting of Hill House,2018,93.0,"This modern reimagining of the Shirley Jackson novel follows siblings who, as children, grew up in what would go on...","Michiel Huisman, Carla Gugino, Timothy Hutton, Elizabeth Reaser","Mike Flanagan, Trevor Macy, Meredith Averill, Justin Falvey"
Master of None,2015,93.0,"Comic Aziz Ansari and writer Alan Yang are the creators of this Netflix-original comedy, which is loosely based on Ansari's...","Aziz Ansari, Lena Waithe, Eric Wareheim, Naomi Ackie","Aziz Ansari, Alan Yang, Michael Schur, David Miner"
BoJack Horseman,2014,93.0,"A humanoid horse, BoJack Horseman -- lost in a sea of self-loathing and booze -- decides it's time for a...","Will Arnett, Amy Sedaris, Alison Brie, Aaron Paul","Steven A. Cohen, Noel Bright, Will Arnett, Aaron Paul"
Stranger Things,2016,93.0,"The disappearance of a boy in Hawkins, Ind., is just the beginning of strange paranormal happenings in the small Midwestern...","Winona Ryder, David Harbour, Finn Wolfhard, Natalia Dyer","Matt Duffer, Ross Duffer, Shawn Levy, Dan Cohen"
Teenage Bounty Hunters,2020,94.0,Twin sisters Blair and Sterling balance teen life at an elite Southern high school with an unlikely new career as...,"Anjelica Bette Fellini, Maddie Phillips, Kadeem Hardison, Virginia Williams",
The Staircase,2005,94.0,"In 2001 novelist Michael Peterson's wife died, and he claimed she perished after falling down stairs at their home. The...",,Jean-Xavier de Lestrade
Last Chance U,2016,94.0,This Netflix original series follows college football teams that aren't major programs and don't get much national attention. After a...,"John Beam, Jason Brown, Buddy Stephens","Greg Whiteley, Greg Whiteley, Lisa Nishimura, Benjamin Cotner"
Money Heist,2017,94.0,"A criminal mastermind who goes by ""The Professor"" has a plan to pull off the biggest heist in recorded history...","Pedro Alonso, Úrsula Corberó, Álvaro Morte, Itziar Ituño",
Maid,2021,94.0,Single mother Alex turns to housecleaning to make ends meet as she escapes an abusive relationship and overcomes homelessness to...,"Margaret Qualley, Nick Robinson, Anika Noni Rose, Tracy Vilar","John Wells, Molly Smith Metzler, Margot Robbie, Tom Ackerley"
Squid Game,2021,94.0,"Hundreds of cash-strapped contestants accept an invitation to compete in children's games for a tempting prize, but the stakes are...","Lee Jung-jae, Park Hae-soo, Oh Yeong-su, Wi Ha-joon",Hwang Dong-hyuk
Castlevania,2017,94.0,"Inspired by the popular video game series, this anime series is a dark medieval fantasy. It follows the last surviving...","Richard Armitage, James Callis, Alejandra Reynoso, Jessica Brown Findlay","Warren Ellis, Kevin Kolde, Fred Seibert, Adi Shankar"
Love,2016,94.0,"When his cheating girlfriend leaves him, people-pleasing nice-guy Gus (Paul Rust, ""I Love You, Beth Cooper"" and ""Inglorious Basterds"") moves...","Paul Rust, Gillian Jacobs, Mike Mitchell, Claudia O'Doherty","Judd Apatow, Paul Rust, Lesley Arfin, Brent Forrester"
The End of the F...ing World,2017,94.0,"Based on the comic book series by Charles Forsman, ""The End of the F...ing World"" sees two 17-year-old outsiders, James...","Alex Lawther, Jessica Barden, Wunmi Mosaku, Gemma Whelan",Jonathan Entwistle
